cell execution count,time (s)
6,1.542278
8,0.931283
10,0.949739
12,0.994476
14,0.922486
16,0.914472
18,0.906839
20,0.875207
22,0.873015
24,0.873035
26,0.876318
28,0.869472
30,0.878145
32,0.914282
34,0.886675
36,0.882975
38,0.875311
40,0.879831
42,0.873372
44,0.881376
46,0.886103
48,0.881091
50,0.878984
52,0.880473
54,0.881128
56,0.883735
58,0.920407
60,0.886989
62,0.889342
64,0.882116
66,0.894691
68,0.900678
70,0.884733
72,0.892582
74,0.89153
76,0.892622
78,0.894037
80,0.901767
82,0.897545
84,0.963356
86,0.893185
88,0.903565
90,0.896693
92,0.900008
94,0.899038
96,0.904952
98,0.900949
100,0.906689
102,0.904135
104,0.902249
106,0.910289
108,0.904103
110,0.956658
112,0.936369
114,0.908905
116,0.902876
118,0.90665
120,0.913253
122,0.908646
124,0.918761
126,0.912613
128,0.914882
130,0.915709
132,0.916673
134,0.919775
136,0.921484
138,0.969225
140,0.922666
142,0.99463
144,1.039429
146,0.964749
148,0.955205
150,0.9305
152,0.942989
154,0.950084
156,0.892155
158,0.90692
160,0.899135
162,0.891196
164,0.901873
166,0.907456
168,1.072607
170,0.940094
172,0.936103
174,1.015933
176,1.046989
178,1.095633
180,1.023437
182,0.985266
184,0.988786
186,0.996486
188,0.98694
190,0.989349
192,0.986603
194,1.031518
196,0.988297
198,1.074148
200,1.007484
202,0.993058
204,0.993373
206,0.994804
208,0.996897
210,1.005692
212,0.998643
214,1.006638
216,0.999219
218,1.002122
220,1.013061
222,1.003845
224,1.048325
226,1.009925
228,1.002561
230,1.153941
232,1.213046
234,1.115158
236,1.100693
238,1.158363
240,1.058675
242,1.108235
244,1.045364
246,1.061315
248,1.133508
250,1.090049
252,1.056909
254,1.074859
256,1.083775
258,1.105775
260,1.163311
262,1.225116
264,1.197451
266,1.149881
268,1.157383
270,1.085204
272,1.170991
274,1.050896
276,1.028658
278,1.027064
280,1.051707
282,1.034289
284,1.046814
286,1.038053
288,1.029384
290,1.033678
292,1.031548
294,1.033225
296,1.130377
298,1.05332
300,1.037594
302,1.036709
304,1.043102
306,1.041983
308,1.037646
310,1.098413
312,1.077933
314,1.039326
316,1.043249
318,1.171244
320,1.052422
322,1.135654
324,1.331708
326,1.093593
328,1.122638
330,1.07303
332,1.106394
334,1.076109
336,1.057276
338,1.056622
340,1.105031
342,1.098691
344,1.048442
346,1.065529
348,1.053497
350,1.05757
352,1.133564
354,1.042193
356,1.228982
358,1.07696
360,1.056859
362,1.108258
364,1.06283
366,1.097985
368,1.154089
370,1.08425
372,1.047843
374,1.142434
376,1.127561
378,1.105804
380,1.07967
382,1.080889
384,1.146591
386,1.148669
388,1.055721
390,1.151697
392,1.170212
394,1.082305
396,1.116422
398,1.038326
400,1.036696
402,1.038023
404,1.155134
