cell execution count,time (s)
6,8.016531
8,7.319478
10,7.234596
12,7.203057
14,7.157543
16,7.35393
18,7.311335
20,7.141525
22,7.110351
24,6.854067
26,6.942075
28,6.912015
30,6.868791
32,7.028541
34,6.940496
36,6.842577
38,6.845572
40,6.831762
42,6.845311
44,6.819794
46,6.844278
48,6.829657
50,6.891775
52,6.843162
54,6.831384
56,6.819808
58,6.843514
60,6.837574
62,6.854084
64,6.845907
66,6.888454
68,6.836504
70,6.907955
72,6.870802
74,6.871317
76,6.839061
78,6.911474
80,6.910059
82,6.982244
84,6.83621
86,6.988744
88,6.869671
90,6.844868
92,6.899601
94,6.910082
96,6.887956
98,7.007737
100,6.876974
102,6.933085
104,6.906212
106,6.831331
108,6.871103
110,6.889097
112,6.870495
114,6.999523
116,6.946391
118,6.898965
120,6.86294
122,6.88269
124,6.875092
126,6.854174
128,6.870157
130,6.999734
132,6.89641
134,6.868579
136,6.853971
138,6.878468
140,6.871893
142,6.874429
144,7.104639
146,6.92548
148,7.031993
150,6.906954
152,6.903836
154,6.901951
156,6.880119
158,6.896279
160,6.677912
162,6.709556
164,6.620513
166,6.764888
168,6.657952
170,6.619498
172,6.697288
174,6.572134
176,6.603823
178,6.571167
180,6.582481
182,6.601389
184,6.748211
186,6.572004
188,6.5576
190,6.577134
192,6.586043
194,6.576211
196,6.53611
198,6.59067
200,6.544587
202,6.749068
204,6.550511
206,6.54483
208,6.553539
210,6.53519
212,6.528398
214,6.703434
216,6.564294
218,6.586794
220,6.766323
222,6.561868
224,6.568429
226,6.590589
228,6.589246
230,6.701354
232,6.586949
234,6.626505
236,6.6572
238,6.817296
240,6.60107
242,7.054058
244,6.597921
246,6.621421
248,6.65079
250,6.668373
252,6.609631
254,6.58911
256,6.638455
258,6.857973
260,6.624314
262,6.621845
264,6.624478
266,6.631836
268,6.623859
270,6.607233
272,6.75331
274,6.610107
276,6.602259
278,6.865627
280,6.646961
282,6.603401
284,6.652493
286,6.612856
288,6.771441
290,6.641093
292,6.645418
294,6.633029
296,6.676158
298,6.981507
300,6.662646
302,6.649329
304,6.660557
306,6.596071
308,6.838773
310,6.644945
312,6.655592
314,6.646403
316,6.658408
318,6.884384
320,6.665598
322,6.608967
324,6.614365
326,6.896274
328,7.316095
330,6.879381
332,6.710478
334,6.770747
336,6.637131
338,6.932084
340,6.931924
342,6.630104
344,6.681211
346,6.680651
348,6.706442
350,6.795564
352,7.047834
354,6.727945
356,6.759399
358,6.705668
360,6.850471
362,7.022359
364,6.867963
366,6.766761
368,6.798619
370,6.898333
372,6.801624
374,6.815245
376,6.669848
378,6.843023
380,6.844681
382,6.847664
384,7.140798
386,6.811252
388,7.016085
390,6.893734
392,6.847751
394,6.936716
396,6.810812
398,6.80565
400,6.799148
402,6.828575
404,6.807315
