cell execution count,time (s)
6,7.106228
8,6.683602
10,6.679615
12,6.662518
14,6.721059
16,6.707259
18,6.707131
20,6.762811
22,6.696136
24,6.753986
26,6.697902
28,6.70191
30,6.745773
32,6.685393
34,6.708814
36,6.689375
38,6.657745
40,6.637666
42,6.720876
44,6.649996
46,6.657374
48,6.670711
50,6.740416
52,6.676177
54,6.684715
56,6.684187
58,6.684788
60,6.661593
62,6.676416
64,6.728164
66,6.648727
68,6.674281
70,6.710015
72,6.712939
74,6.665681
76,6.645556
78,6.698332
80,6.756915
82,6.665803
84,6.6814
86,6.725074
88,6.668115
90,6.625627
92,6.656208
94,6.657805
96,6.746928
98,6.684789
100,6.66853
102,6.649095
104,6.673259
106,6.703186
108,6.626925
110,6.644348
112,6.772745
114,6.661355
116,6.644105
118,6.671799
120,6.7013
122,6.654762
124,6.680251
126,6.687205
128,6.680874
130,6.786715
132,6.673704
134,6.70684
136,6.680972
138,6.710793
140,6.715237
142,6.690337
144,6.695553
146,6.852084
148,6.705288
150,6.714826
152,6.689923
154,6.753036
156,6.715231
158,6.68199
160,6.697194
162,6.796781
164,6.834784
166,6.707521
168,6.834185
170,6.754849
172,6.725115
174,6.695458
176,6.729955
178,6.826163
180,6.742327
182,6.847836
184,6.759231
186,6.760898
188,6.714591
190,6.693934
192,6.701131
194,6.749608
196,7.002244
198,6.739293
200,6.950427
202,6.765581
204,6.716551
206,6.706545
208,6.707233
210,6.72733
212,6.731471
214,6.713943
216,6.725869
218,6.905317
220,6.755242
222,6.721838
224,6.740745
226,6.722903
228,6.743746
230,6.878392
232,6.735746
234,6.704127
236,6.742449
238,6.906015
240,6.731343
242,6.862471
244,6.744897
246,6.72193
248,6.777087
250,6.74046
252,6.745265
254,6.788773
256,6.754125
258,6.959315
260,6.788731
262,6.763229
264,6.786147
266,6.75916
268,6.876818
270,6.796773
272,6.980648
274,6.839476
276,6.852012
278,7.00836
280,6.813624
282,6.769242
284,6.834721
286,6.808604
288,6.953495
290,6.814339
292,6.828785
294,6.804764
296,6.836996
298,7.206521
300,6.853057
302,6.780039
304,6.821866
306,6.800133
308,6.83094
310,6.804997
312,6.82189
314,6.809186
316,6.8448
318,7.038558
320,6.876401
322,6.781951
324,6.968975
326,6.774428
328,6.852242
330,6.832222
332,7.171588
334,7.041434
336,6.851838
338,6.820097
340,7.145267
342,6.78731
344,7.035475
346,6.854325
348,6.762116
350,6.659634
352,6.641684
354,6.753873
356,6.707982
358,6.823466
360,6.747961
362,7.004689
364,6.695339
366,6.946979
368,6.934008
370,7.088565
372,6.948301
374,6.791021
376,6.731946
378,6.743643
380,6.689084
382,6.670248
384,6.974776
386,6.691539
388,6.698805
390,6.672263
392,6.665317
394,6.701711
396,6.733646
398,6.722918
400,6.91722
402,6.713829
404,6.720341
