cell execution count,time (s)
4,4.189332
6,3.456519
8,3.272992
10,3.385283
12,3.40158
14,3.329939
16,3.30894
18,3.322365
20,3.425853
22,3.485945
24,3.456016
26,3.513961
28,3.312666
30,3.22184
32,3.826651
34,4.165926
36,3.713419
38,3.73779
40,3.677855
42,3.72674
44,3.795302
46,3.809594
48,3.872111
50,3.488159
52,3.777711
54,3.913745
56,3.862071
58,3.89477
60,3.734883
62,3.634814
64,3.579121
66,4.075223
68,3.893534
70,3.875369
72,4.134832
74,4.051804
76,4.130805
78,6.307266
80,3.997773
82,3.767486
84,3.686166
86,3.591455
88,3.405751
90,3.40921
92,3.379019
94,3.544066
96,3.402434
98,3.41209
100,3.389593
102,3.354492
104,3.419778
106,3.379352
108,3.415385
110,3.439191
112,3.296137
114,3.496793
116,3.458462
118,3.636792
120,3.629859
122,3.315016
124,3.389097
126,3.418127
128,3.441846
130,3.475082
132,3.386178
134,3.492779
136,3.444197
138,3.554678
140,3.637625
142,3.45072
144,3.591197
146,4.118374
148,4.161165
150,3.852237
152,3.928499
154,4.261161
156,3.889042
158,4.475786
160,3.741188
162,3.818233
164,3.73749
166,3.946099
168,3.76491
170,3.741131
172,3.780156
174,3.574083
176,3.948733
178,3.757006
180,3.779806
182,3.682136
184,3.512293
186,3.696306
188,3.558726
190,3.668671
192,3.834341
194,3.798891
196,3.842374
198,3.933092
200,3.804869
202,3.574612
204,3.349372
206,3.893321
208,3.46297
210,3.359688
212,3.360245
214,3.322613
216,3.736956
218,4.155311
220,3.721182
222,3.495085
224,3.742756
226,3.463429
228,3.63853
230,3.80701
232,3.540222
234,3.796683
236,3.59846
238,4.145116
240,3.950858
242,3.935468
244,3.809944
246,3.607338
248,3.674642
250,4.079117
252,4.083525
254,3.646209
256,4.296169
258,4.127736
260,4.048672
262,3.993172
264,3.498384
266,3.745509
268,3.708385
270,3.454751
272,3.438338
274,3.44829
276,3.507789
278,3.518019
280,3.737238
282,3.538876
284,3.412005
286,3.408028
288,3.452663
290,3.80626
292,3.403287
294,3.47473
296,3.411792
298,3.627943
300,3.437562
302,3.416475
304,3.39141
306,3.520168
308,3.808977
310,3.84054
312,3.634826
314,4.489874
316,3.777984
318,4.145238
320,4.343758
322,3.517631
324,3.617216
326,3.780614
328,3.48776
330,3.378356
332,3.728907
334,3.541235
336,3.570505
338,3.634729
340,3.881119
342,3.56002
344,3.552152
346,3.728311
348,3.472635
350,3.590768
352,3.646738
354,3.680395
356,3.785254
358,3.802562
360,4.13821
362,3.513534
364,4.133636
366,3.869704
368,4.06768
370,3.925192
372,3.915595
374,3.698134
376,3.522093
378,3.805927
380,3.563592
382,3.914518
384,3.83732
386,3.669531
388,3.692592
390,3.608265
392,4.646992
394,3.556341
396,4.826589
398,4.071958
400,4.371221
402,4.50809
